TERRITORIO,TERRITORIO_CODE,TIME_PERIOD,TIME_PERIOD_CODE,SEXO,SEXO_CODE,SECTOR_EJECUCION,SECTOR_EJECUCION_CODE,MEDIDAS,MEDIDAS_CODE,OBS_VALUE,CONFIDENCIALIDAD_OBSERVACION,CONFIDENCIALIDAD_OBSERVACION_CODE,ESTADO_OBSERVACION,NOTAS_OBSERVACION
La Rioja,ES23,2021,2021,Total,_T,Total,_T,"Investigadores empleados en actividades de I+D, en equivalencia a jornada completa (EJC)",INVESTIGADORES_EJC,840.8,,,,
La Rioja,ES23,2021,2021,Hombres,M,Total,_T,"Investigadores empleados en actividades de I+D, en equivalencia a jornada completa (EJC)",INVESTIGADORES_EJC,422.3,,,,
La Rioja,ES23,2021,2021,Mujeres,F,Total,_T,"Investigadores empleados en actividades de I+D, en equivalencia a jornada completa (EJC)",INVESTIGADORES_EJC,418.5,,,,
La Rioja,ES23,2022,2022,Total,_T,Total,_T,"Personal empleado en actividades de I+D, en equivalencia a jornada completa (EJC)",PERSONAL_EJC,1471.4,,,,
La Rioja,ES23,2022,2022,Hombres,M,Total,_T,"Personal empleado en actividades de I+D, en equivalencia a jornada completa (EJC)",PERSONAL_EJC,824.2,,,,
La Rioja,ES23,2022,2022,Mujeres,F,Total,_T,"Personal empleado en actividades de I+D, en equivalencia a jornada completa (EJC)",PERSONAL_EJC,647.2,,,,
La Rioja,ES23,2022,2022,Total,_T,Total,_T,"Investigadores empleados en actividades de I+D, en equivalencia a jornada completa (EJC)",INVESTIGADORES_EJC,985.9,,,,
La Rioja,ES23,2022,2022,Hombres,M,Total,_T,"Investigadores empleados en actividades de I+D, en equivalencia a jornada completa (EJC)",INVESTIGADORES_EJC,518.1,,,,
La Rioja,ES23,2022,2022,Mujeres,F,Total,_T,"Investigadores empleados en actividades de I+D, en equivalencia a jornada completa (EJC)",INVESTIGADORES_EJC,467.8,,,,
La Rioja,ES23,2023,2023,Total,_T,Total,_T,"Personal empleado en actividades de I+D, en equivalencia a jornada completa (EJC)",PERSONAL_EJC,1413.1,,,,
La Rioja,ES23,2023,2023,Hombres,M,Total,_T,"Personal empleado en actividades de I+D, en equivalencia a jornada completa (EJC)",PERSONAL_EJC,810.6,,,,
La Rioja,ES23,2023,2023,Mujeres,F,Total,_T,"Personal empleado en actividades de I+D, en equivalencia a jornada completa (EJC)",PERSONAL_EJC,602.5,,,,
La Rioja,ES23,2023,2023,Total,_T,Total,_T,"Investigadores empleados en actividades de I+D, en equivalencia a jornada completa (EJC)",INVESTIGADORES_EJC,933.6,,,,
La Rioja,ES23,2023,2023,Hombres,M,Total,_T,"Investigadores empleados en actividades de I+D, en equivalencia a jornada completa (EJC)",INVESTIGADORES_EJC,509.4,,,,
La Rioja,ES23,2023,2023,Mujeres,F,Total,_T,"Investigadores empleados en actividades de I+D, en equivalencia a jornada completa (EJC)",INVESTIGADORES_EJC,424.2,,,,
Aragón,ES24,2021,2021,Total,_T,Total,_T,"Personal empleado en actividades de I+D, en equivalencia a jornada completa (EJC)",PERSONAL_EJC,6673.4,,,,
Aragón,ES24,2021,2021,Hombres,M,Total,_T,"Personal empleado en actividades de I+D, en equivalencia a jornada completa (EJC)",PERSONAL_EJC,4072.3,,,,
Aragón,ES24,2021,2021,Mujeres,F,Total,_T,"Personal empleado en actividades de I+D, en equivalencia a jornada completa (EJC)",PERSONAL_EJC,2601.1,,,,
Aragón,ES24,2021,2021,Total,_T,Total,_T,"Investigadores empleados en actividades de I+D, en equivalencia a jornada completa (EJC)",INVESTIGADORES_EJC,4357.2,,,,
Aragón,ES24,2021,2021,Hombres,M,Total,_T,"Investigadores empleados en actividades de I+D, en equivalencia a jornada completa (EJC)",INVESTIGADORES_EJC,2563.5,,,,
Aragón,ES24,2021,2021,Mujeres,F,Total,_T,"Investigadores empleados en actividades de I+D, en equivalencia a jornada completa (EJC)",INVESTIGADORES_EJC,1793.7,,,,
Aragón,ES24,2022,2022,Total,_T,Total,_T,"Personal empleado en actividades de I+D, en equivalencia a jornada completa (EJC)",PERSONAL_EJC,7321.3,,,,
Aragón,ES24,2022,2022,Hombres,M,Total,_T,"Personal empleado en actividades de I+D, en equivalencia a jornada completa (EJC)",PERSONAL_EJC,4496,,,,
